,V00,V1_1,V1_2,V1_3,V1_4,V1_5,V2_1,V2_2,V2_3,groep_split,V3_Codes,V3,V4_1,V4_2,V5_1,V5_2,V5_3,V5_4,V5_5,V5_6,V5_7,V5_8,V5_9,V6a,V6b,V7_1,V7_2,V7_3,V7_4,V7_5,id,Opmerkingen,Opmerkingen_Codes,Cijfer,GESLACHT2,OPLEID_HER,IOPOL2023,stedc,nielsen_4,LFT5,lft_weging_Niels,weging_totaal_pol
0,Ja,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Een beetje mee oneens,Helemaal mee oneens,D,0,"De hoogleraar bepleit dat het goed is voor het klimaat om de tegels in tuinen te vervangen door groen. Dat heeft meerdere voordelen, o.a. voor temperatuur en waterhuishouding",6,7 Informeel,6,7 Is helemaal niet oprecht,7 Is heel erg deskundig,7 Is heel erg betrouwbaar,6,7 Is heel erg eerlijk,7 Maakt zich heel veel zorgen om de maatschappij,7 Geeft heel veel om de maatschappij,7 Is heel erg intelligent,Nee,,Een beetje mee eens,Mee eens,Mee oneens,Een beetje mee eens,,9FF8C0A0-12EC-4503-94C0-56E599D72A83,"Qua tekst maakt het ook heel erg uit waar die te vinden is. Nu ik weet dat de tekst voor de KlimaatHelpdesk is, waar mensen vragen kunnen insturen als ik me niet vergis, is zo’n persoonlijkere toon fijner kan ik me voorstellen, al moet je wel oppassen dat je mensen niet toespreekt alsof het kinderen zijn.",,10,Man,hoog,GroenLinks-PvdA,Zeer sterk stedelijk,"West (UT, NH, ZH)",25-39,18 t/m 39,0.8721607104011451
1,Ja,Een beetje mee oneens,Neutraal,Neutraal,Een beetje mee oneens,Een beetje mee oneens,Neutraal,Een beetje mee eens,Een beetje mee oneens,C,,,4,5,4,1 Is helemaal niet oprecht,3,3,3,4,4,4,5,Nee,,Een beetje mee oneens,Een beetje mee oneens,Neutraal,Neutraal,,11706DD7-796E-4248-AAED-21EBDD3804AC,,,6,Vrouw,midden,"Nee, ik heb niet gestemd",Zeer sterk stedelijk,"West (UT, NH, ZH)",18-24,18 t/m 39,0.9882862243985404
2,Ja,Een beetje mee eens,Mee eens,Mee eens,Een beetje mee eens,Een beetje mee eens,Helemaal mee eens,Een beetje mee eens,Helemaal mee oneens,C,0,Invloed van inrichting tuin op temperatuur en waterhuishouding,3,3,4,6,6,5,6,6,6,6,6,Nee,,Mee eens,Mee eens,Mee oneens,Een beetje mee eens,,B609447A-A10C-45DE-B12A-8528A813852B,,,8,Vrouw,hoog,GroenLinks-PvdA,Zeer sterk stedelijk,"West (UT, NH, ZH)",55-64,40 t/m 64,1.2233371769720087
3,Ja,Een beetje mee eens,Mee eens,Een beetje mee eens,Helemaal mee oneens,Mee eens,Een beetje mee eens,Een beetje mee eens,Een beetje mee eens,C,0,Groene tuin verbeterd het klimaat,4,4,4,6,4,5,5,5,7 Maakt zich heel veel zorgen om de maatschappij,5,6,Ja,In mijn tuin is de grond ongeveer evenveel beplant (groen) als betegeld,Mee eens,Mee eens,Neutraal,Mee oneens,Neutraal,340F44E5-82C0-4202-99EC-30F175F87957,,,7,Man,midden,PVV,Zeer sterk stedelijk,"West (UT, NH, ZH)",40-54,40 t/m 64,1.2660639664330733
4,Ja,Een beetje mee eens,Helemaal mee eens,Een beetje mee eens,Een beetje mee eens,Helemaal mee eens,Helemaal mee eens,Een beetje mee eens,Mee oneens,B,0,Invloed van meer groene tuinen op temperatuur,5,5,4,6,6,6,6,6,6,6,6,Ja,In mijn tuin is de grond vooral betegeld,Mee eens,Mee eens,Mee oneens,Neutraal,Een beetje mee eens,705477B3-A2E4-4BA9-8BAC-7044F9234B99,,,8,Man,hoog,D66,Zeer sterk stedelijk,"West (UT, NH, ZH)",55-64,40 t/m 64,1.043075399679235
5,Ja,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee oneens,C,0,Vergroenen van tuinen en het effect op de temperatuur,1 Zakelijk,4,4,6,7 Is heel erg deskundig,6,6,6,6,6,6,Nee,,Helemaal mee eens,Helemaal mee eens,Mee oneens,Mee eens,,08B08125-5375-4EBC-89F7-7C763B37A244,,,8,Man,hoog,GroenLinks-PvdA,Zeer sterk stedelijk,"West (UT, NH, ZH)",65,65+,0.8066412293338033
6,Ja,Neutraal,Mee eens,Mee eens,Een beetje mee eens,Een beetje mee eens,Mee eens,Mee eens,Mee oneens,D,0,"Het ging voornamelijk over de temperatuur effecten die vergroenen oplevert, evenals klimaat bevordering.",6,5,4,6,6,6,6,6,6,6,7 Is heel erg intelligent,Nee,,Mee eens,Een beetje mee oneens,Een beetje mee eens,Een beetje mee oneens,,DE0CD23C-B24A-4B51-9AE9-7867F680BE45,,,9,Vrouw,midden,"Nee, ik heb niet gestemd",Zeer sterk stedelijk,"West (UT, NH, ZH)",40-54,40 t/m 64,1.1128899825004623
7,Ja,Neutraal,Een beetje mee oneens,Mee eens,Een beetje mee oneens,Een beetje mee eens,Mee oneens,Mee oneens,Een beetje mee eens,A,0,Groen beter dan stenen,4,4,4,4,4,4,4,4,5,4,4,Ja,In mijn tuin is de grond ongeveer evenveel beplant (groen) als betegeld,Een beetje mee oneens,Een beetje mee oneens,Mee oneens,Neutraal,Mee eens,8AF2C63A-22FB-4D1B-ACD3-CF38FFBEB1C5,,,7,Man,hoog,PVV,Zeer sterk stedelijk,"West (UT, NH, ZH)",55-64,40 t/m 64,1.2839238510325135
8,Ja,Een beetje mee eens,Mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee oneens,B,0,Meer groen ipv tegels in stadstuinen kan de gemiddelde temperatuur in de stad verlagen en bovendien helpen met opvang van neerslag,3,5,1 Is helemaal niet gevoelig,6,6,6,6,6,6,4,6,Ja,In mijn tuin is de grond vooral beplant (groen),Mee eens,Mee eens,Mee oneens,Neutraal,Neutraal,72ED4292-1491-4DEC-AA1D-E10FB1315AEE,,,8,Man,laag,NSC,Zeer sterk stedelijk,"West (UT, NH, ZH)",40-54,40 t/m 64,0.8466865390155837
9,Ja,Helemaal mee oneens,Helemaal mee oneens,Een beetje mee oneens,Helemaal mee oneens,Helemaal mee oneens,Helemaal mee oneens,Mee oneens,Helemaal mee oneens,D,,,4,4,3,3,4,2,3,3,3,3,3,Nee,,Neutraal,Neutraal,Neutraal,Neutraal,,8F5BD43A-D695-4F84-AA44-CC4F1F2A28E4,,,10,Vrouw,laag,"Nee, ik heb niet gestemd",Zeer sterk stedelijk,"West (UT, NH, ZH)",40-54,40 t/m 64,1.137275527
